x,y,z
-0.927,-0.522,-0.276
-0.985,-0.548,-0.314
-0.88,-0.428,-0.378
-0.836,-0.399,-0.405
-0.824,-0.34,-0.413
-0.765,-0.358,-0.314
-0.739,-0.481,-0.229
-0.792,-0.613,-0.214
-0.789,-0.551,-0.308
-0.815,-0.619,-0.249
-0.78,-0.516,-0.22
-0.76,-0.481,-0.167
-0.792,-0.484,-0.188
-0.748,-0.487,-0.211
-0.83,-0.463,-0.235
-0.859,-0.422,-0.249
-0.818,-0.528,-0.182
-0.809,-0.493,-0.196
-0.859,-0.455,-0.261
-0.824,-0.566,-0.176
-0.789,-0.499,-0.196
-0.856,-0.493,-0.255
-0.804,-0.463,-0.17
-0.821,-0.443,-0.202
-0.865,-0.528,-0.235
-0.801,-0.54,-0.141
-0.809,-0.554,-0.088
-0.859,-0.551,-0.185
-0.85,-0.607,-0.129
-0.792,-0.633,-0.082
-0.78,-0.642,-0.091
-0.824,-0.654,-0.129
-0.792,-0.625,0.003
-0.754,-0.666,0.018
-0.754,-0.633,0.015
-0.733,-0.639,0.091
-0.683,-0.692,0.176
-0.669,-0.677,0.173
-0.663,-0.707,0.173
-0.669,-0.718,0.196
-0.677,-0.727,0.191
-0.587,-0.736,0.29
-0.584,-0.78,0.32
-0.601,-0.792,0.317
-0.601,-0.757,0.326
-0.54,-0.707,0.364
-0.463,-0.718,0.384
-0.501,-0.619,0.258
-0.513,-0.718,0.299
-0.434,-0.833,0.463
-0.669,-0.698,0.284
-0.569,-0.812,0.378
-0.587,-0.818,0.305
-0.666,-0.78,0.235
-0.789,-0.757,0.026
-0.683,-0.683,-0.041
-0.648,-0.707,0.047
-0.751,-0.607,-0.097
-0.736,-0.633,-0.132
-0.718,-0.636,-0.103
-0.792,-0.613,-0.17
-0.809,-0.625,-0.158
-0.806,-0.625,-0.173
-0.818,-0.557,-0.202
-0.783,-0.592,-0.188
-0.762,-0.639,-0.111
-0.745,-0.639,-0.1
-0.739,-0.636,-0.088
-0.78,-0.692,-0.114
-0.63,-0.742,0.091
-0.689,-0.724,0.012
-0.689,-0.751,0.038
-0.595,-0.783,0.103
-0.622,-0.742,0.111
-0.636,-0.798,0.1
-0.613,-0.751,0.097
-0.598,-0.798,0.167
-0.584,-0.833,0.182
-0.616,-0.833,0.117
-0.636,-0.795,0.117
-0.545,-0.804,0.188
-0.499,-0.742,0.229
-0.475,-0.824,0.284
-0.481,-0.871,0.29
-0.475,-0.809,0.235
-0.457,-0.842,0.308
-0.428,-0.824,0.299
-0.46,-0.88,0.255
-0.455,-0.903,0.29
-0.425,-0.868,0.249
-0.431,-0.912,0.22
-0.46,-0.912,0.132
-0.428,-0.868,0.15
-0.446,-0.903,0.044
-0.557,-0.862,-0.141
-0.484,-0.839,-0.106
-0.566,-0.889,-0.22
-0.56,-0.768,-0.243
-0.54,-0.792,-0.255
-0.587,-0.642,-0.314
-0.607,-0.677,-0.446
-0.584,-0.713,-0.279
-0.783,-0.651,-0.616
-0.718,-0.463,-0.548
-0.672,-0.528,-0.393
-0.721,-0.428,-0.452
-0.727,-0.396,-0.566
-0.704,-0.352,-0.446
-0.768,-0.279,-0.601
-0.762,-0.173,-0.56
-0.804,-0.27,-0.545
-0.736,-0.199,-0.572
-0.751,-0.17,-0.545
-0.821,-0.144,-0.686
-0.774,-0.126,-0.83
-0.581,0.038,-0.484
-0.481,0.246,-0.487
-0.956,-0.208,-0.906
-0.821,0.109,-0.61
-0.76,0.223,-0.616
-0.692,0.328,-0.575
-0.648,0.387,-0.46
-0.707,0.367,-0.56
-0.663,0.352,-0.431
-0.765,0.358,-0.575
-0.748,0.525,-0.63
-0.592,0.484,-0.358
-0.625,0.246,-0.29
-0.88,0.422,-0.974
-0.765,0.584,-0.657
-0.575,0.299,-0.355
-0.607,-0.056,-0.733
-0.821,0.097,-0.891
-0.628,0.097,-0.651
-0.754,-0.34,-0.607
-0.613,-0.246,-0.718
-0.768,-0.657,-0.848
-0.519,-0.581,-0.572
-0.358,-0.507,-0.543
-0.584,-0.727,-0.76
-0.475,-0.754,-0.446
-0.308,-0.625,-0.199
-0.557,-0.95,-0.504
-0.413,-0.947,-0.196
-0.375,-0.78,-0.018
-0.463,-0.871,-0.235
-0.323,-0.994,0.088
-0.328,-0.765,0.229
-0.431,-1.018,0.129
-0.39,-0.824,0.202
-0.287,-0.894,0.402
-0.346,-0.903,0.399
-0.393,-0.751,0.443
-0.328,-0.809,0.484
-0.267,-0.842,0.56
-0.279,-0.809,0.545
-0.302,-0.848,0.595
-0.238,-0.754,0.666
-0.252,-0.595,0.645
-0.279,-0.628,0.648
-0.334,-0.61,0.704
-0.323,-0.584,0.724
-0.238,-0.472,0.874
-0.211,-0.408,0.903
-0.205,-0.323,0.95
-0.246,-0.308,0.859
-0.176,-0.258,0.921
-0.185,-0.194,0.935
-0.144,-0.126,0.947
-0.144,-0.129,1.023
-0.155,-0.085,0.994
-0.12,0.0,0.965
-0.191,-0.109,0.836
0.018,-0.009,1.003
-0.141,-0.044,0.997
-0.082,-0.029,0.947
-0.032,-0.003,1.047
-0.103,0.032,0.994
-0.12,0.073,0.897
-0.032,0.023,1.003
-0.067,0.044,0.988
-0.364,0.082,0.88
-0.208,0.023,0.962
-0.182,0.053,0.994
-0.199,0.038,0.994
-0.185,0.085,0.979
-0.182,0.111,0.944
-0.126,0.082,0.977
-0.141,0.158,0.994
-0.12,0.097,1.076
-0.238,0.053,0.982
-0.235,0.059,0.792
-0.114,0.141,0.903
-0.17,0.152,1.023
-0.252,0.076,1.065
-0.205,0.082,0.982
-0.15,0.1,0.962
-0.155,0.126,0.947
-0.167,0.114,0.968
-0.17,0.109,0.95
-0.179,0.067,1.026
-0.152,0.114,0.994
-0.073,0.132,0.959
-0.047,0.117,0.877
-0.056,0.085,0.962
-0.044,0.155,1.103
0.012,0.214,1.047
